,min,max,average
Gen#0,3.0,26.0,9.95
Gen#1,3.0,26.0,14.45
Gen#2,6.0,26.0,20.4
Gen#3,3.0,26.0,20.904761904761905
Gen#4,3.0,26.0,22.952380952380953
Gen#5,3.0,26.0,22.666666666666668
Gen#6,3.0,26.0,22.571428571428573
Gen#7,3.0,26.0,24.904761904761905
Gen#8,3.0,31.0,22.095238095238095
Gen#9,7.0,31.0,25.25
Gen#10,4.0,31.0,23.15
Gen#11,3.0,31.0,22.25
Gen#12,6.0,31.0,23.55
Gen#13,3.0,31.0,23.35
Gen#14,3.0,31.0,25.35
Gen#15,3.0,31.0,18.25
Gen#16,3.0,31.0,21.35
Gen#17,5.0,31.0,25.0
Gen#18,4.0,31.0,23.75
Gen#19,4.0,32.0,24.5
Gen#20,3.0,32.0,24.15
Gen#21,6.0,32.0,27.571428571428573
Gen#22,6.0,32.0,26.904761904761905
Gen#23,6.0,32.0,26.952380952380953
Gen#24,6.0,34.0,29.333333333333332
Gen#25,9.0,34.0,31.0
Gen#26,5.0,34.0,27.45
Gen#27,3.0,36.0,26.38095238095238
Gen#28,3.0,36.0,29.35
Gen#29,6.0,36.0,25.05
Gen#30,3.0,36.0,26.25
Gen#31,3.0,36.0,26.25
Gen#32,3.0,36.0,28.428571428571427
Gen#33,7.0,36.0,30.142857142857142
Gen#34,6.0,36.0,31.238095238095237
Gen#35,7.0,36.0,30.523809523809526
Gen#36,3.0,36.0,28.19047619047619
Gen#37,3.0,37.0,25.571428571428573
Gen#38,3.0,37.0,29.6
Gen#39,3.0,37.0,28.714285714285715
Gen#40,3.0,37.0,29.25
Gen#41,3.0,37.0,23.6
Gen#42,3.0,37.0,30.45
Gen#43,3.0,37.0,29.15
Gen#44,4.0,37.0,31.3
Gen#45,3.0,37.0,26.9
Gen#46,3.0,37.0,26.4
Gen#47,3.0,37.0,29.05
Gen#48,6.0,37.0,31.65
Gen#49,6.0,37.0,28.45
